Order ID,Order Date,Ship Date,Customer ID,Product ID,Quantity,Unit Price,Discount %,Sales,Cost,Profit,City,State,Region,Salesperson,Payment Mode
ORD100062,07-11-2025,14-11-2025,C1084,P105,1,15000,10.00,13500,11000,2500,Patna,Bihar,East,Ritu,UPI
ORD100063,26-03-2025,27-03-2025,C0601,P107,4,3000,5.00,11400,8800,2600,Bengaluru,Karnataka,South,Priya,Credit Card
ORD100064,25-11-2025,30-11-2025,C0166,P108,4,6500,20.00,20800,17200,3600,Chandigarh,Chandigarh,North,Ritu,Debit Card
ORD100065,23-07-2025,24-07-2025,C0814,P111,3,9500,30.00,19950,21600,-1650,Ranchi,Jharkhand,East,Deepak,UPI
ORD100066,16-12-2025,18-12-2025,C0058,P109,8,8500,25.00,51000,48800,2200,Hyderabad,Telangana,South,Simran,Net Banking
ORD100067,06-03-2025,08-03-2025,C0686,P113,4,120,20.00,384,240,144,Kolkata,West Bengal,East,Amit,Debit Card
ORD100068,29-03-2025,02-04-2025,C0305,P103,4,800,20.00,2560,1800,760,Lucknow,Uttar Pradesh,North,Ritu,Cash
ORD100069,05-09-2025,12-09-2025,C1049,P108,3,6500,5.00,18525,12900,5625,Coimbatore,Tamil Nadu,South,Karan,Debit Card
ORD100070,20-11-2025,21-11-2025,C0280,P102,4,12000,0.00,48000,36000,12000,Lucknow,Uttar Pradesh,North,Simran,Credit Card
ORD100071,19-04-2025,21-04-2025,C0237,P101,4,55000,10.00,198000,168000,30000,Indore,Madhya Pradesh,West,Naveen,UPI
ORD100072,10-06-2025,11-06-2025,C0052,P105,4,15000,15.00,51000,44000,7000,Lucknow,Uttar Pradesh,North,Simran,Net Banking
ORD100073,13-11-2025,15-11-2025,C0804,P106,3,2500,20.00,6000,5100,900,Delhi,Delhi,North,Amit,Net Banking
ORD100074,28-09-2025,29-09-2025,C0401,P104,4,1500,25.00,4500,3600,900,Delhi,Delhi,North,Deepak,Cash
ORD100075,03-02-2025,10-02-2025,C0133,P114,3,180,10.00,486,270,216,Pune,Maharashtra,West,Neha,Cash
ORD100076,04-08-2025,05-08-2025,C0145,P114,2,180,15.00,306,180,126,Indore,Madhya Pradesh,West,Amit,Debit Card
ORD100077,12-06-2025,13-06-2025,C1194,P106,2,2500,5.00,4750,3400,1350,Bhubaneswar,Odisha,East,Neha,Debit Card
ORD100078,17-02-2025,19-02-2025,C0572,P114,2,180,10.00,324,180,144,Jaipur,Rajasthan,North,Simran,Credit Card
ORD100079,19-08-2025,23-08-2025,C0021,P104,4,1500,30.00,4200,3600,600,Bengaluru,Karnataka,South,Ankit,UPI
ORD100080,25-04-2025,01-05-2025,C0346,P115,2,250,15.00,425,260,165,Coimbatore,Tamil Nadu,South,Priya,Debit Card
ORD100081,23-11-2025,27-11-2025,C0059,P114,5,180,20.00,720,450,270,Kolkata,West Bengal,East,Naveen,Cash
ORD100082,30-12-2025,31-12-2025,C0350,P114,4,180,25.00,540,360,180,Guwahati,Assam,East,Raj,Credit Card
ORD100083,05-04-2025,11-04-2025,C1133,P113,3,120,25.00,270,180,90,Bhubaneswar,Odisha,East,Raj,Cash
ORD100084,15-10-2025,18-10-2025,C0177,P115,8,250,30.00,1400,1040,360,Bengaluru,Karnataka,South,Naveen,Cash
ORD100085,25-03-2025,30-03-2025,C0546,P113,4,120,5.00,456,240,216,Mumbai,Maharashtra,West,Raj,Debit Card
ORD100086,12-03-2025,15-03-2025,C0173,P114,5,180,25.00,675,450,225,Patna,Bihar,East,Karan,Debit Card
ORD100087,25-12-2025,29-12-2025,C0662,P106,4,2500,15.00,8500,6800,1700,Lucknow,Uttar Pradesh,North,Ritu,Net Banking
ORD100088,08-09-2025,12-09-2025,C0527,P103,2,800,25.00,1200,900,300,Noida,Uttar Pradesh,North,Ritu,Cash
ORD100089,11-01-2025,15-01-2025,C0268,P114,2,180,0.00,360,180,180,Bengaluru,Karnataka,South,Neha,Net Banking
ORD100090,08-09-2025,11-09-2025,C0168,P108,2,6500,20.00,10400,8600,1800,Jaipur,Rajasthan,North,Karan,Credit Card
ORD100091,10-05-2025,17-05-2025,C0458,P115,3,250,15.00,637.5,390,247.5,Indore,Madhya Pradesh,West,Priya,Credit Card
ORD100092,11-06-2025,15-06-2025,C0055,P102,4,12000,15.00,40800,36000,4800,Surat,Gujarat,West,Simran,Debit Card
ORD100093,23-03-2025,30-03-2025,C0797,P108,5,6500,25.00,24375,21500,2875,Surat,Gujarat,West,Deepak,Credit Card
ORD100094,07-12-2025,13-12-2025,C1040,P108,5,6500,10.00,29250,21500,7750,Jaipur,Rajasthan,North,Neha,Net Banking
ORD100095,21-07-2025,23-07-2025,C0955,P112,4,300,15.00,1020,680,340,Bhubaneswar,Odisha,East,Ankit,Net Banking
ORD100096,22-10-2025,23-10-2025,C0854,P107,5,3000,5.00,14250,11000,3250,Hyderabad,Telangana,South,Simran,Debit Card
ORD100097,29-09-2025,06-10-2025,C0187,P101,2,55000,10.00,99000,84000,15000,Kolkata,West Bengal,East,Ritu,Debit Card
ORD100098,28-06-2025,04-07-2025,C0579,P101,5,55000,15.00,233750,210000,23750,Noida,Uttar Pradesh,North,Ritu,UPI
ORD100099,23-03-2025,29-03-2025,C0968,P113,1,120,5.00,114,60,54,Noida,Uttar Pradesh,North,Deepak,Cash
ORD100100,09-03-2025,10-03-2025,C0449,P101,1,55000,0.00,55000,42000,13000,Chandigarh,Chandigarh,North,Simran,Cash
ORD100101,13-09-2025,17-09-2025,C0983,P109,4,8500,5.00,32300,24400,7900,Ranchi,Jharkhand,East,Raj,Cash
ORD100102,29-04-2025,02-05-2025,C1187,P112,2,300,0.00,600,340,260,Kochi,Kerala,South,Amit,Credit Card
ORD100103,31-12-2025,05-01-2026,C0349,P109,8,8500,30.00,47600,48800,-1200,Delhi,Delhi,North,Simran,Net Banking
ORD100104,21-04-2025,28-04-2025,C0336,P108,3,6500,0.00,19500,12900,6600,Hyderabad,Telangana,South,Neha,Debit Card
ORD100105,02-11-2025,04-11-2025,C1089,P110,3,7000,5.00,19950,15000,4950,Ranchi,Jharkhand,East,Ritu,Net Banking
ORD100106,15-01-2025,18-01-2025,C0076,P101,4,55000,30.00,154000,168000,-14000,Bengaluru,Karnataka,South,Neha,Net Banking
ORD100107,13-02-2025,19-02-2025,C0140,P103,4,800,25.00,2400,1800,600,Kolkata,West Bengal,East,Raj,Net Banking
ORD100108,05-09-2025,07-09-2025,C1026,P105,3,15000,20.00,36000,33000,3000,Bhubaneswar,Odisha,East,Neha,Cash
ORD100109,12-07-2025,13-07-2025,C0785,P115,4,250,10.00,900,520,380,Chandigarh,Chandigarh,North,Ankit,Net Banking
ORD100110,23-03-2025,27-03-2025,C0384,P104,3,1500,10.00,4050,2700,1350,Indore,Madhya Pradesh,West,Karan,Credit Card
ORD100111,29-07-2025,30-07-2025,C1109,P113,1,120,15.00,102,60,42,Surat,Gujarat,West,Naveen,Debit Card
ORD100112,29-08-2025,02-09-2025,C0033,P104,3,1500,10.00,4050,2700,1350,Delhi,Delhi,North,Priya,Cash
ORD100113,31-08-2025,06-09-2025,C0609,P115,3,250,10.00,675,390,285,Guwahati,Assam,East,Neha,Credit Card
ORD100114,08-11-2025,13-11-2025,C0699,P103,1,800,20.00,640,450,190,Hyderabad,Telangana,South,Deepak,Debit Card
ORD100115,28-07-2025,29-07-2025,C0207,P102,2,12000,30.00,16800,18000,-1200,Guwahati,Assam,East,Ankit,Debit Card
ORD100116,31-08-2025,05-09-2025,C1097,P113,2,120,10.00,216,120,96,Patna,Bihar,East,Karan,Cash
ORD100117,19-07-2025,25-07-2025,C0559,P103,3,800,0.00,2400,1350,1050,Bengaluru,Karnataka,South,Priya,Cash
ORD100118,24-08-2025,25-08-2025,C1011,P101,2,55000,10.00,99000,84000,15000,Ahmedabad,Gujarat,West,Deepak,Net Banking
ORD100119,24-08-2025,25-08-2025,C0969,P103,3,800,0.00,2400,1350,1050,Bengaluru,Karnataka,South,Priya,Cash
ORD100120,18-04-2025,22-04-2025,C0969,P101,5,55000,20.00,220000,210000,10000,Bengaluru,Karnataka,South,Ritu,Credit Card
ORD100121,14-03-2025,17-03-2025,C0857,P110,2,7000,30.00,9800,10000,-200,Chennai,Tamil Nadu,South,Priya,Credit Card
ORD100122,05-07-2025,07-07-2025,C0036,P106,4,2500,25.00,7500,6800,700,Pune,Maharashtra,West,Ankit,Credit Card
ORD100123,30-09-2025,01-10-2025,C0121,P101,3,55000,0.00,165000,126000,39000,Kochi,Kerala,South,Naveen,Net Banking
ORD100124,07-03-2025,08-03-2025,C0457,P112,5,300,20.00,1200,850,350,Coimbatore,Tamil Nadu,South,Amit,Net Banking
ORD100125,16-08-2025,23-08-2025,C1022,P115,2,250,20.00,400,260,140,Pune,Maharashtra,West,Neha,Net Banking
ORD100126,29-05-2025,30-05-2025,C1114,P103,2,800,5.00,1520,900,620,Chandigarh,Chandigarh,North,Deepak,UPI
ORD100127,24-11-2025,27-11-2025,C0746,P106,7,2500,10.00,15750,11900,3850,Kochi,Kerala,South,Ankit,Debit Card
ORD100128,18-06-2025,22-06-2025,C0847,P105,2,15000,30.00,21000,22000,-1000,Chennai,Tamil Nadu,South,Priya,Net Banking
ORD100129,03-01-2025,07-01-2025,C0143,P111,3,9500,25.00,21375,21600,-225,Patna,Bihar,East,Priya,Debit Card
ORD100130,03-10-2025,07-10-2025,C0151,P112,1,300,15.00,255,170,85,Chandigarh,Chandigarh,North,Karan,Cash
ORD100131,04-05-2025,07-05-2025,C0815,P113,2,120,30.00,168,120,48,Delhi,Delhi,North,Ankit,Cash
ORD100132,19-02-2025,22-02-2025,C0808,P102,1,12000,15.00,10200,9000,1200,Bengaluru,Karnataka,South,Karan,Net Banking
ORD100133,02-10-2025,08-10-2025,C0937,P107,6,3000,0.00,18000,13200,4800,Noida,Uttar Pradesh,North,Ritu,Cash
ORD100134,10-10-2025,17-10-2025,C0358,P106,2,2500,20.00,4000,3400,600,Kochi,Kerala,South,Ankit,Credit Card
ORD100135,15-11-2025,19-11-2025,C0114,P108,5,6500,0.00,32500,21500,11000,Guwahati,Assam,East,Amit,Debit Card
ORD100136,14-03-2025,16-03-2025,C0320,P102,3,12000,10.00,32400,27000,5400,Surat,Gujarat,West,Priya,Cash
ORD100137,28-07-2025,02-08-2025,C1181,P115,5,250,5.00,1187.5,650,537.5,Delhi,Delhi,North,Simran,UPI
ORD100138,30-05-2025,03-06-2025,C0174,P113,1,120,25.00,90,60,30,Hyderabad,Telangana,South,Karan,Credit Card
ORD100139,28-01-2025,31-01-2025,C0556,P107,1,3000,25.00,2250,2200,50,Mumbai,Maharashtra,West,Ankit,Debit Card
ORD100140,09-06-2025,10-06-2025,C0155,P113,3,120,30.00,252,180,72,Chennai,Tamil Nadu,South,Neha,Debit Card
ORD100141,15-08-2025,18-08-2025,C0977,P108,5,6500,20.00,26000,21500,4500,Chennai,Tamil Nadu,South,Ritu,Net Banking
ORD100142,23-03-2025,29-03-2025,C0087,P102,5,12000,5.00,57000,45000,12000,Chandigarh,Chandigarh,North,Deepak,Cash
ORD100143,25-03-2025,26-03-2025,C0443,P115,4,250,25.00,750,520,230,Delhi,Delhi,North,Raj,Cash
ORD100144,17-08-2025,21-08-2025,C1036,P101,3,55000,15.00,140250,126000,14250,Patna,Bihar,East,Raj,Debit Card
ORD100145,05-02-2025,12-02-2025,C0576,P110,3,7000,0.00,21000,15000,6000,Kochi,Kerala,South,Simran,Debit Card
ORD100146,29-12-2025,03-01-2026,C0309,P114,3,180,0.00,540,270,270,Bengaluru,Karnataka,South,Naveen,Debit Card
ORD100147,29-11-2025,06-12-2025,C1023,P113,5,120,30.00,420,300,120,Pune,Maharashtra,West,Karan,Net Banking
ORD100148,29-10-2025,03-11-2025,C0062,P115,3,250,15.00,637.5,390,247.5,Pune,Maharashtra,West,Ritu,Cash
ORD100149,29-10-2025,01-11-2025,C0072,P113,8,120,30.00,672,480,192,Jaipur,Rajasthan,North,Simran,Credit Card
ORD100150,09-12-2025,14-12-2025,C0221,P110,3,7000,10.00,18900,15000,3900,Bengaluru,Karnataka,South,Raj,Credit Card
ORD100151,25-02-2025,01-03-2025,C0253,P102,2,12000,10.00,21600,18000,3600,Patna,Bihar,East,Neha,Debit Card
ORD100152,14-10-2025,20-10-2025,C0771,P106,4,2500,25.00,7500,6800,700,Kochi,Kerala,South,Simran,UPI
ORD100153,05-01-2025,11-01-2025,C0134,P103,1,800,20.00,640,450,190,Patna,Bihar,East,Ritu,Credit Card
ORD100154,09-09-2025,11-09-2025,C0122,P110,5,7000,30.00,24500,25000,-500,Delhi,Delhi,North,Karan,UPI
ORD100155,13-07-2025,18-07-2025,C0536,P103,5,800,15.00,3400,2250,1150,Bengaluru,Karnataka,South,Priya,Cash
ORD100156,29-10-2025,02-11-2025,C0198,P113,5,120,25.00,450,300,150,Jaipur,Rajasthan,North,Priya,Cash
ORD100157,17-07-2025,20-07-2025,C0704,P105,3,15000,5.00,42750,33000,9750,Pune,Maharashtra,West,Deepak,Debit Card
ORD100158,05-02-2025,11-02-2025,C0987,P114,2,180,0.00,360,180,180,Chennai,Tamil Nadu,South,Amit,Net Banking
ORD100159,10-06-2025,15-06-2025,C0637,P102,3,12000,30.00,25200,27000,-1800,Patna,Bihar,East,Raj,UPI
ORD100160,12-06-2025,19-06-2025,C0526,P104,1,1500,25.00,1125,900,225,Bengaluru,Karnataka,South,Amit,Credit Card
ORD100161,11-01-2025,16-01-2025,C0705,P103,1,800,5.00,760,450,310,Indore,Madhya Pradesh,West,Simran,UPI
ORD100162,17-05-2025,20-05-2025,C0681,P106,4,2500,20.00,8000,6800,1200,Mumbai,Maharashtra,West,Priya,Cash
ORD100163,23-07-2025,25-07-2025,C0657,P104,4,1500,25.00,4500,3600,900,Chandigarh,Chandigarh,North,Raj,UPI
ORD100164,18-06-2025,25-06-2025,C0541,P101,5,55000,0.00,275000,210000,65000,Guwahati,Assam,East,Neha,Net Banking
ORD100165,31-10-2025,04-11-2025,C0722,P101,2,55000,0.00,110000,84000,26000,Delhi,Delhi,North,Naveen,Credit Card
ORD100166,15-02-2025,18-02-2025,C1070,P102,1,12000,5.00,11400,9000,2400,Bengaluru,Karnataka,South,Naveen,Cash
ORD100167,17-09-2025,20-09-2025,C1132,P110,1,7000,25.00,5250,5000,250,Kochi,Kerala,South,Priya,Net Banking
ORD100168,06-07-2025,08-07-2025,C0090,P109,4,8500,30.00,23800,24400,-600,Surat,Gujarat,West,Deepak,Cash
ORD100169,04-03-2025,06-03-2025,C0953,P114,3,180,10.00,486,270,216,Ahmedabad,Gujarat,West,Priya,Debit Card
ORD100170,29-10-2025,04-11-2025,C0202,P115,2,250,5.00,475,260,215,Patna,Bihar,East,Deepak,Credit Card
ORD100171,20-02-2025,27-02-2025,C0606,P114,1,180,30.00,126,90,36,Patna,Bihar,East,Priya,Net Banking
ORD100172,16-04-2025,20-04-2025,C1139,P112,4,300,15.00,1020,680,340,Ahmedabad,Gujarat,West,Priya,UPI
ORD100173,03-06-2025,04-06-2025,C0287,P112,1,300,10.00,270,170,100,Bhubaneswar,Odisha,East,Ritu,Cash
ORD100174,15-01-2025,21-01-2025,C0711,P110,2,7000,25.00,10500,10000,500,Bengaluru,Karnataka,South,Amit,UPI
ORD100175,04-08-2025,06-08-2025,C0844,P101,2,55000,5.00,104500,84000,20500,Bhubaneswar,Odisha,East,Priya,Cash
ORD100176,14-01-2025,20-01-2025,C0972,P105,2,15000,5.00,28500,22000,6500,Kolkata,West Bengal,East,Raj,Net Banking
ORD100177,21-03-2025,27-03-2025,C1093,P102,1,12000,5.00,11400,9000,2400,Guwahati,Assam,East,Neha,Debit Card
ORD100178,03-05-2025,08-05-2025,C0894,P102,3,12000,20.00,28800,27000,1800,Delhi,Delhi,North,Karan,Net Banking
ORD100179,11-04-2025,17-04-2025,C0405,P106,2,2500,30.00,3500,3400,100,Jaipur,Rajasthan,North,Karan,Debit Card
ORD100180,11-05-2025,13-05-2025,C0254,P109,5,8500,0.00,42500,30500,12000,Mumbai,Maharashtra,West,Neha,Cash
ORD100181,22-12-2025,28-12-2025,C0219,P101,5,55000,25.00,206250,210000,-3750,Pune,Maharashtra,West,Deepak,Debit Card
ORD100182,24-05-2025,28-05-2025,C0859,P104,3,1500,0.00,4500,2700,1800,Indore,Madhya Pradesh,West,Neha,UPI
ORD100183,01-03-2025,03-03-2025,C0501,P111,2,9500,10.00,17100,14400,2700,Chandigarh,Chandigarh,North,Ritu,Net Banking
ORD100184,01-03-2025,03-03-2025,C0018,P107,5,3000,15.00,12750,11000,1750,Kolkata,West Bengal,East,Raj,Credit Card
ORD100185,16-07-2025,17-07-2025,C0742,P106,1,2500,10.00,2250,1700,550,Patna,Bihar,East,Amit,Net Banking
ORD100186,04-02-2025,07-02-2025,C1079,P103,2,800,15.00,1360,900,460,Kolkata,West Bengal,East,Priya,UPI
ORD100187,16-02-2025,18-02-2025,C0273,P106,1,2500,25.00,1875,1700,175,Pune,Maharashtra,West,Ritu,UPI
ORD100188,15-07-2025,18-07-2025,C0915,P108,4,6500,20.00,20800,17200,3600,Hyderabad,Telangana,South,Simran,Net Banking
ORD100189,08-09-2025,09-09-2025,C0476,P113,3,120,20.00,288,180,108,Bhubaneswar,Odisha,East,Naveen,Debit Card
ORD100190,09-04-2025,14-04-2025,C1094,P103,2,800,10.00,1440,900,540,Ahmedabad,Gujarat,West,Amit,Debit Card
ORD100191,26-01-2025,31-01-2025,C0864,P107,4,3000,25.00,9000,8800,200,Bhubaneswar,Odisha,East,Ankit,Credit Card
ORD100192,24-09-2025,25-09-2025,C0970,P102,2,12000,20.00,19200,18000,1200,Mumbai,Maharashtra,West,Karan,Debit Card
ORD100193,26-12-2025,29-12-2025,C1090,P106,4,2500,0.00,10000,6800,3200,Kochi,Kerala,South,Karan,Net Banking
ORD100194,08-01-2025,09-01-2025,C0739,P111,2,9500,15.00,16150,14400,1750,Patna,Bihar,East,Deepak,Net Banking
ORD100195,12-03-2025,19-03-2025,C0545,P107,1,3000,30.00,2100,2200,-100,Chennai,Tamil Nadu,South,Karan,Credit Card
ORD100196,29-01-2025,01-02-2025,C0725,P108,4,6500,25.00,19500,17200,2300,Mumbai,Maharashtra,West,Simran,Credit Card
ORD100197,12-06-2025,19-06-2025,C0900,P102,2,12000,10.00,21600,18000,3600,Chennai,Tamil Nadu,South,Neha,Net Banking
ORD100198,13-12-2025,15-12-2025,C0979,P115,7,250,5.00,1662.5,910,752.5,Bengaluru,Karnataka,South,Priya,Cash
ORD100199,04-04-2025,11-04-2025,C0406,P115,4,250,25.00,750,520,230,Mumbai,Maharashtra,West,Priya,Debit Card
ORD100200,02-10-2025,04-10-2025,C0946,P115,3,250,30.00,525,390,135,Kolkata,West Bengal,East,Simran,Cash
ORD100201,15-02-2025,18-02-2025,C0597,P111,4,9500,15.00,32300,28800,3500,Hyderabad,Telangana,South,Karan,Cash
ORD100202,11-11-2025,16-11-2025,C0383,P107,4,3000,5.00,11400,8800,2600,Pune,Maharashtra,West,Priya,UPI
ORD100203,30-04-2025,01-05-2025,C0522,P114,1,180,20.00,144,90,54,Ahmedabad,Gujarat,West,Priya,Cash
ORD100204,22-01-2025,25-01-2025,C0276,P101,2,55000,25.00,82500,84000,-1500,Bengaluru,Karnataka,South,Simran,Credit Card
